(base) wyh@wyh-VirtualBox:/media/sf_System-C/Edge 3/output$ ./"d1_server"
[Server] listening on port 8080
[Monitor]: total request=0 TPS=0 active connections=0
[Monitor]: total request=0 TPS=0 active connections=0
[Monitor]: total request=1900 TPS=1900 active connections=500
[Monitor]: total request=11703 TPS=9803 active connections=500
[Monitor]: total request=20611 TPS=8908 active connections=500
[Monitor]: total request=29934 TPS=9323 active connections=500
[Monitor]: total request=42046 TPS=12112 active connections=500
[Monitor]: total request=51570 TPS=9524 active connections=500
[Monitor]: total request=59976 TPS=8406 active connections=500
[Monitor]: total request=70142 TPS=10166 active connections=500
[Monitor]: total request=79149 TPS=9007 active connections=500
[Monitor]: total request=86367 TPS=7218 active connections=500
[Monitor]: total request=96499 TPS=10132 active connections=500
[Monitor]: total request=106343 TPS=9844 active connections=500
[Monitor]: total request=116834 TPS=10491 active connections=500
[Monitor]: total request=127366 TPS=10532 active connections=500
[Monitor]: total request=136956 TPS=9590 active connections=500
[Monitor]: total request=146886 TPS=9930 active connections=500
[Monitor]: total request=156919 TPS=10033 active connections=500
[Monitor]: total request=167102 TPS=10183 active connections=500
[Monitor]: total request=177213 TPS=10111 active connections=500
[Monitor]: total request=187105 TPS=9892 active connections=500
[Monitor]: total request=196437 TPS=9332 active connections=500
[Monitor]: total request=206395 TPS=9958 active connections=500
[Monitor]: total request=216566 TPS=10171 active connections=500
[Monitor]: total request=226116 TPS=9550 active connections=500
[Monitor]: total request=235679 TPS=9563 active connections=500
[Monitor]: total request=245323 TPS=9644 active connections=500
[Monitor]: total request=254928 TPS=9605 active connections=500
[Monitor]: total request=264375 TPS=9447 active connections=500
[Monitor]: total request=273841 TPS=9466 active connections=500
[Monitor]: total request=283468 TPS=9627 active connections=500
[Monitor]: total request=292871 TPS=9403 active connections=500
[Monitor]: total request=303168 TPS=10297 active connections=500
[Monitor]: total request=312648 TPS=9480 active connections=500
[Monitor]: total request=321922 TPS=9274 active connections=500
[Monitor]: total request=331497 TPS=9575 active connections=500
[Monitor]: total request=341446 TPS=9949 active connections=500
[Monitor]: total request=350952 TPS=9506 active connections=500
[Monitor]: total request=360603 TPS=9651 active connections=500
[Monitor]: total request=370114 TPS=9511 active connections=500
[Monitor]: total request=380081 TPS=9967 active connections=500
[Monitor]: total request=389492 TPS=9411 active connections=500
[Monitor]: total request=398932 TPS=9440 active connections=500
[Monitor]: total request=408264 TPS=9332 active connections=500
[Monitor]: total request=417650 TPS=9386 active connections=500
[Monitor]: total request=425223 TPS=7573 active connections=500
[Monitor]: total request=433778 TPS=8555 active connections=500
[Monitor]: total request=439377 TPS=5599 active connections=500
[Monitor]: total request=445209 TPS=5832 active connections=500
[Monitor]: total request=450817 TPS=5608 active connections=500
[Monitor]: total request=456320 TPS=5503 active connections=500
[Monitor]: total request=462060 TPS=5740 active connections=500
[Monitor]: total request=467896 TPS=5836 active connections=500
[Monitor]: total request=474979 TPS=7083 active connections=500
[Monitor]: total request=483068 TPS=8089 active connections=227
[Monitor]: total request=493918 TPS=10850 active connections=127
[Monitor]: total request=500000 TPS=6082 active connections=0
[Monitor]: total request=500000 TPS=0 active connections=0
[Monitor]: total request=500000 TPS=0 active connections=0
[Monitor]: total request=500000 TPS=0 active connections=0
^C[Server] shutting down...
[Monitor]: total request=500000 TPS=0 active connections=0
[Server] stopped.
