[2026-02-27 13:51:45][INFO][Server] listening on port 8080
[2026-02-27 13:51:46][INFO][Monitor] CPU=0.000000% Mem=3.972656MB TPS=0
[2026-02-27 13:51:47][INFO][Monitor] CPU=0.000000% Mem=3.980469MB TPS=0
[2026-02-27 13:51:48][INFO][Monitor] CPU=0.000000% Mem=3.984375MB TPS=0
[2026-02-27 13:51:49][INFO][Monitor] CPU=0.000000% Mem=3.984375MB TPS=0
[2026-02-27 13:51:50][INFO][Monitor] CPU=0.000000% Mem=3.984375MB TPS=0
[2026-02-27 13:51:51][INFO][Monitor] CPU=1.992364% Mem=3.984375MB TPS=0
[2026-02-27 13:51:51][INFO]Shutting down...
[2026-02-27 13:51:52][INFO][Monitor] CPU=0.000000% Mem=4.113281MB TPS=0
[2026-03-05 13:16:29][INFO] [Server] listening on port 8080
[2026-03-05 13:16:30][INFO] [Monitor] CPU=0.000000% Mem=4.050781MB TPS=0
[2026-03-05 13:16:30][INFO] [AsyncLogger] log level updated
[2026-03-05 13:16:31][INFO] [Monitor] CPU=0.000000% Mem=4.203125MB TPS=0
[2026-03-05 13:16:32][INFO] [Monitor] CPU=0.000000% Mem=4.207031MB TPS=0
[2026-03-05 13:16:33][INFO] [Monitor] CPU=0.000000% Mem=4.207031MB TPS=0
[2026-03-05 13:16:34][INFO] [Monitor] CPU=0.000000% Mem=4.207031MB TPS=0
[2026-03-05 13:16:35][INFO] [Monitor] CPU=1.999168% Mem=4.207031MB TPS=0
[2026-03-05 13:16:36][INFO] [Monitor] CPU=0.000000% Mem=4.207031MB TPS=0
[2026-03-05 13:16:37][INFO] [Monitor] CPU=0.000000% Mem=4.207031MB TPS=0
[2026-03-05 13:16:38][INFO] [Monitor] CPU=0.998605% Mem=4.207031MB TPS=0
[2026-03-05 13:16:39][INFO] [Monitor] CPU=0.000000% Mem=4.207031MB TPS=0
[2026-03-05 13:16:40][INFO] [Monitor] CPU=0.000000% Mem=4.207031MB TPS=0
[2026-03-05 13:16:41][INFO] [Monitor] CPU=0.000000% Mem=4.207031MB TPS=0
[2026-03-05 13:16:42][INFO] [Monitor] CPU=0.998782% Mem=4.207031MB TPS=0
[2026-03-05 13:16:43][INFO] [Monitor] CPU=0.000000% Mem=4.207031MB TPS=0
[2026-03-05 13:16:44][INFO] [Monitor] CPU=0.000000% Mem=4.207031MB TPS=0
[2026-03-05 13:16:45][INFO] [Monitor] CPU=1.989357% Mem=4.207031MB TPS=0
[2026-03-05 13:16:46][INFO] [Monitor] CPU=0.000000% Mem=4.207031MB TPS=0
[2026-03-05 13:16:47][INFO] [Monitor] CPU=0.000000% Mem=4.207031MB TPS=0
[2026-03-05 13:16:48][INFO] [Monitor] CPU=0.000000% Mem=4.207031MB TPS=0
[2026-03-05 13:16:49][INFO] [Monitor] CPU=0.999332% Mem=4.207031MB TPS=0
[2026-03-05 13:16:50][INFO] [Monitor] CPU=0.000000% Mem=4.207031MB TPS=0
[2026-03-05 13:16:51][INFO] [Monitor] CPU=0.998015% Mem=4.207031MB TPS=0
[2026-03-05 13:16:52][INFO] [Monitor] CPU=0.995614% Mem=4.207031MB TPS=0
[2026-03-05 13:16:53][INFO] [Monitor] CPU=0.000000% Mem=4.207031MB TPS=0
[2026-03-05 13:16:54][INFO] [Monitor] CPU=0.999691% Mem=4.207031MB TPS=0
[2026-03-05 13:16:55][INFO] [Monitor] CPU=0.000000% Mem=4.207031MB TPS=0
[2026-03-05 13:16:56][INFO] [Monitor] CPU=0.000000% Mem=4.207031MB TPS=0
[2026-03-05 13:16:57][INFO] Shutting down...
[2026-03-05 13:16:57][INFO] [Monitor] CPU=0.997154% Mem=4.339844MB TPS=0
[2026-03-05 13:16:57][INFO] [Server] stopped.
[2026-03-05 13:17:47][INFO] [Server] listening on port 8080
[2026-03-05 13:17:48][INFO] [Monitor] CPU=0.000000% Mem=4.054688MB TPS=0
[2026-03-05 13:17:48][INFO] [AsyncLogger] log level updated
[2026-03-05 13:17:49][INFO] [Monitor] CPU=0.000000% Mem=4.207031MB TPS=0
[2026-03-05 13:17:50][INFO] [Monitor] CPU=0.000000% Mem=4.210938MB TPS=0
[2026-03-05 13:17:51][INFO] [Monitor] CPU=0.000000% Mem=4.210938MB TPS=0
[2026-03-05 13:17:52][INFO] [Monitor] CPU=48.976488% Mem=4.281250MB TPS=4945
[2026-03-05 13:17:53][INFO] [Monitor] CPU=85.959636% Mem=4.281250MB TPS=7906
[2026-03-05 13:17:54][INFO] [Monitor] CPU=88.964854% Mem=4.281250MB TPS=7476
[2026-03-05 13:17:55][INFO] [Monitor] CPU=79.971995% Mem=4.281250MB TPS=6914
[2026-03-05 13:17:56][INFO] [Monitor] CPU=75.879569% Mem=4.285156MB TPS=9216
[2026-03-05 13:17:57][INFO] [Monitor] CPU=64.964392% Mem=4.285156MB TPS=7958
[2026-03-05 13:17:58][INFO] [Monitor] CPU=61.934045% Mem=4.285156MB TPS=7401
[2026-03-05 13:17:59][INFO] [Monitor] CPU=63.971254% Mem=4.285156MB TPS=5933
[2026-03-05 13:18:00][INFO] [Monitor] CPU=62.947305% Mem=4.285156MB TPS=5267
[2026-03-05 13:18:01][INFO] [Monitor] CPU=74.560981% Mem=4.285156MB TPS=6129
[2026-03-05 13:18:02][INFO] [Monitor] CPU=76.977714% Mem=4.289062MB TPS=6834
[2026-03-05 13:18:03][INFO] [Monitor] CPU=73.802282% Mem=4.289062MB TPS=6245
[2026-03-05 13:18:04][INFO] [Monitor] CPU=74.968500% Mem=4.289062MB TPS=6634
[2026-03-05 13:18:05][INFO] [Monitor] CPU=67.905471% Mem=4.289062MB TPS=6759
[2026-03-05 13:18:06][INFO] [Monitor] CPU=69.961082% Mem=4.289062MB TPS=8607
[2026-03-05 13:18:07][INFO] [Monitor] CPU=66.963279% Mem=4.289062MB TPS=9010
[2026-03-05 13:18:08][INFO] [Monitor] CPU=70.791321% Mem=4.289062MB TPS=6225
[2026-03-05 13:18:09][INFO] [Monitor] CPU=61.973336% Mem=4.289062MB TPS=7479
[2026-03-05 13:18:10][INFO] [Monitor] CPU=66.880327% Mem=4.289062MB TPS=7769
[2026-03-05 13:18:11][INFO] [Monitor] CPU=73.977919% Mem=4.289062MB TPS=9905
[2026-03-05 13:18:12][INFO] [Monitor] CPU=65.987183% Mem=4.289062MB TPS=6143
